XsdFilePosition,Name,Type,SubstitutionGroup,IsAbstract,INullable
gml\coverage.xsd(394),GridCoverage,gml:GridCoverageType,gml:AbstractDiscreteCoverage,FALSE,FALSE
gml\coverage.xsd(414),gridDomain,gml:GridDomainType,gml:domainSet,FALSE,FALSE
gml\coverage.xsd(431),RectifiedGridCoverage,gml:RectifiedGridCoverageType,gml:AbstractDiscreteCoverage,FALSE,FALSE
gml\coverage.xsd(450),rectifiedGridDomain,gml:RectifiedGridDomainType,gml:domainSet,FALSE,FALSE
gml\datums.xsd(15),AbstractDatum,gml:AbstractDatumType,gml:Definition,TRUE,FALSE
gml\datums.xsd(41),anchorPoint,gml:CodeType,gml:anchorDefinition,FALSE,FALSE
gml\datums.xsd(65),GeodeticDatum,gml:GeodeticDatumType,gml:AbstractDatum,FALSE,FALSE
gml\datums.xsd(85),usesPrimeMeridian,gml:PrimeMeridianPropertyType,gml:primeMeridian,FALSE,FALSE
gml\datums.xsd(95),usesEllipsoid,gml:EllipsoidPropertyType,gml:ellipsoid,FALSE,FALSE
gml\datums.xsd(114),Ellipsoid,gml:EllipsoidType,gml:Definition,FALSE,FALSE
gml\datums.xsd(178),PrimeMeridian,gml:PrimeMeridianType,gml:Definition,FALSE,FALSE
gml\datums.xsd(211),EngineeringDatum,gml:EngineeringDatumType,gml:AbstractDatum,FALSE,FALSE
gml\datums.xsd(235),ImageDatum,gml:ImageDatumType,gml:AbstractDatum,FALSE,FALSE
gml\datums.xsd(268),VerticalDatum,gml:VerticalDatumType,gml:AbstractDatum,FALSE,FALSE
gml\datums.xsd(292),TemporalDatum,gml:TemporalDatumType,gml:AbstractDatum,FALSE,FALSE
gml\dictionary.xsd(15),Definition,gml:DefinitionType,gml:AbstractGML,FALSE,FALSE
gml\dictionary.xsd(49),Dictionary,gml:DictionaryType,gml:Definition,FALSE,FALSE
gml\dictionary.xsd(56),DefinitionCollection,gml:DictionaryType,gml:Definition,FALSE,FALSE
gml\dictionary.xsd(79),definitionMember,gml:DictionaryEntryType,gml:dictionaryEntry,FALSE,FALSE
